content
애들하고 같이 봤어요 꼭 보세여 !!!! 
굿~~~착한 영화♡♡♡ 
"광주 민주화운동에서 몰랐던 사실을 알게되었고, 너무 재밌고 감동적이었습니다. 정말 눈물쏟느라 힘다빠졌습니다..ㅎ 군함도보다 훨씬나아요 여러분 우리 역사를 잘알려주는 택시운전사 꼭 보세용 "
"그들은 폭도가 아니라 한 가정의 가장이자 자녀이자 아내, 남편이었습니다.각 시대의 십자가가 있지만.. 우리의 지난 역사를 돌아보면 참 많은 분들의 목숨을 걸고 지키고 이뤄낸 나라라는걸 다시금 깨달았습니다.함부로 헬조선이란 말 하고 싶지 않습니다. "
정말 최고에요! 꼭 보세요 
너무너무 감동적이고 감동이 끊이지 않는 영화ㅜㅜ실화에서 더욱더 감동이에요ㅜ 꼭보세요 안보면 후회합니다!!! 
별점 10. 설명 필요없다. 최고다. 
감히 점수를 매길 수 없는 영화 ㅠㅠㅜ 슬퍼요 
1929년 일제만행에 대항한 광주학생운동. 군부독재에 맞선 5.18 광주민주화운동광주시민들 불의를 못참고 용감한 국민입니다. 이런 분들을 전라디언. 폭동꾼이라 매도하는 인간들은 쪽바리만 못한 것들이죠 
정말 재밌고 슬프고 감동이 있는 영화다 
현실은 더 참혹했습니다. 그래도 지금이라도 그날의 슬픔을 다같이 공감할수 있어서 다행입니다. 
영화 너무 잘 봤어요~ 고등학생인데 다른 학생들도 꼭 봤으면 좋겠습니다 
영화를 통해 새롭게 알게된게 참 많네요. 앞으로도 꾸준히 관심을 가지게 되는 계기가 될 것 같아요. 배우들 연기도 참 좋았습니다. 
대한민국 사람이라면 꼭 봐야될 영화 
지루함. 슬픈영화 좋아하시면 보시길 내취향은 아님 
말로만 듣던 광주의 그 날들을 조금이나마 실감할 수 있었습니다. 고맙습니다. 
마지막까지  즐겁게 잘 봣습니다. 마지막 힌츠페터님 인터뷰 기억에 남네요 ! 
너무기대하고 봤나보네요....  차라리 군함도가 훨씬 나은듯!!! 
가슴 찡한 영화 추천해요!!! 
ㄹㅇ 갓 갓 드라이버 지리고 
고맙습니다 꼭 보세요... 
"오늘 3시 cgv 에서 가족과 함께 보았습니다. 보는 내내슬프기도 하고, 웃음도 나왔습니다. 광주 시민들의 순수함과 저항 정신이 잘 나타난 영화로 올해 가장 인상 깊은 영화였습니다. "
